实验次数,是否提前终止,终止迭代次数,终止能量,总求解时间(秒),平均单次迭代耗时(秒),迭代次数,95%置信区间下界(秒),95%置信区间上界(秒),置信区间宽度(秒)
1,TRUE,2,0.0,6.8931,3.4466,2,7.1359,9.5756,2.4398
2,TRUE,2,0.0,7.2922,3.6461,2,7.1359,9.5756,2.4398
3,TRUE,2,0.0,7.2244,3.6122,2,7.1359,9.5756,2.4398
4,TRUE,2,0.0,9.5298,4.7649,2,7.1359,9.5756,2.4398
5,TRUE,2,0.0,8.2231,4.1115,2,7.1359,9.5756,2.4398
6,TRUE,2,0.0,7.2427,3.6213,2,7.1359,9.5756,2.4398
7,TRUE,2,0.0,10.0833,5.0416,2,7.1359,9.5756,2.4398
8,TRUE,2,0.0,7.4926,3.7463,2,7.1359,9.5756,2.4398
9,TRUE,2,0.0,7.4267,3.7133,2,7.1359,9.5756,2.4398
10,TRUE,2,0.0,12.1497,6.0748,2,7.1359,9.5756,2.4398
